date,name,price,weight,kind,site,location
2022-08-23 17:22:25,"산지직송 꿀 경북사과 햇 홍로사과 사과 10kg 고당도 아삭한 꿀이쏙쏙 청송사과 흠과 가정용, 햇홍로 가정용10kg(소과))",2900,10,홍로,쿠팡,경상북도
2022-08-23 17:22:26,"산지직송 2022년 가정용 사과 햇 홍로 꿀사과, 5kg 소과",3380,5,홍로,쿠팡,
2022-08-23 17:22:28,"[장길영사과] 사과 중과 5kg(17~19과), 상세 설명 참조, 상세 설명 참조",3980,5,,쿠팡,
2022-08-23 17:22:29,(용이다팜) 정품 가정용 사과10kg 홍로 (50과내외),2490,10,홍로,쿠팡,
2022-08-23 17:22:30,"[은하수농장] 가정용 꿀사과 특가판매, 1박스, 04.가정용흠과 사과 2KG/중과",7950,2,,쿠팡,
2022-08-23 17:22:32,"명품 꿀사과 추석기획전 고당도 (15.200원부터~전상품세일판매중), 20. 사과 / 흠과 / 중과 / 10kg",8770,10,,쿠팡,
2022-08-23 17:22:33,"3Kg 5Kg 10Kg, 5kg 알뜰사과 한입과(25~30과)",4580,5,,쿠팡,
2022-08-23 17:22:34,"산지직송 2022년 가정용 사과 햇 홍로 꿀사과, 5kg 중과",3780,5,홍로,쿠팡,
2022-08-23 17:22:36,"[산지 직송] 가정용 아오리 사과 5KG 10KG, 5KG 꼬마(31~35과)",2640,5,아오리,쿠팡,
2022-08-23 17:22:37,"꿀당도 햇 홍로 사과 5kg, 홍로사과 5kg(17~18과)",6580,5,홍로,쿠팡,
2022-08-23 17:22:38,"국내산 당도선별 안동세척 사과, 2kg(7~12입), 1개",8400,2,,쿠팡,경상북도
date,title,price,weight,kind,site,location
2022-08-23 17:33:41,"껍질째먹는 훈이네 경북 부사 청송 꿀사과, 혼합5KG",6580,5,부사,쿠팡,경상북도
2022-08-23 17:33:42,"고산지 재배 당도선별 사과, 1.5kg(5~8입), 1봉",8533,1.5,,쿠팡,
